,baseVolume,percentChange,high,low,highestBid,quoteVolume,index
7,4.56017918248570532,-14.8883387,0.00026999,0.0000601999913,0.000108,33314.502980100796591087,SCRL
1,37.467026191516063194,-7.69307692,0.00135,0.00112,0.00040057,31099.981972467409741789,ACAD
16,33.374773297000206485,3.58992677,0.00000058989999999,0.00000033,0.00000054,72517080.075126951686096853,IG
17,2.890714809999999782,-42.61040498,0.00052398,0.000300029999999999,0.000169611999999999,7844.44400852055503241,EMTV
0,186.912072588801346093,-38.57939914,0.0000054,0.0000025,0.000002800000009653,48599609.480545716809046441,DX
14,1.682032113118481896,-38.82293828,0.000059809999,0.000029,0.000011189999,48747.35238804976562627,XRT
13,1.456724279999996989,45.38461538,0.000000189,0.00000005,0.000000061,15921192.44227994227194228,CYFM
4,0.258574277217932033,-59.40834459,0.000000602452542354,0.000000244545459999,0.000000170199999999,556930.673100394312677222,MFTU
11,0.24483320558378,50,0.00000075,0.0000005,0.00000045,434777.60744504,BNC
6,0.0500000142553,0,0.00015,0.00015,0.00004100009,333.333428368666666666,AVINOC
18,0,0,N/A,N/A,0.000003011,0,SURE
15,0,0,N/A,N/A,0.0001877,0,HEAL
10,0,0,N/A,N/A,0.000066,0,TALAO
12,0,0,N/A,N/A,0.0000021,0,RGE
9,0,0,N/A,N/A,0.000002,0,ZEWT
8,0,0,N/A,N/A,0.00001,0,ENAU
5,0,0,N/A,N/A,N/A,0,VXV
3,0,0,N/A,N/A,0.00001252000199999,0,ONG
2,0,0,N/A,N/A,N/A,0,VUU
19,0,0,N/A,N/A,0.0000222399999999,0,ROX
