,baseVolume,percentChange,high,low,highestBid,quoteVolume,index
11,51.274022068533099313,-0.49828447,0.000068541554368782,0.00006252,0.000065709577176941,780257.396894179255910626,ESS
9,49.850870921930524991,-71.64021164,0.00000945,0.0000025501,0.00000291,10841010.526826,IONC
10,28.966351824784262495,-7.06850641,0.00004255,0.000038,0.00003704,729260.635287107423968833,MFT
8,231.305970473634682039,-9.62480862,0.00230219,0.00200201,0.002133463,108798.951648027405986151,GOT
7,2.219738640073340584,-9.29095355,0.00006686,0.000048,0.00004801,41720.041326162940056153,BITX
2,0.630161864950394682,0,0.0003,0.0003,0.000050009,2100.53954983464894,ZXC
0,0.099675225,0,0.000065,0.000065,0.00003751,1533.465,BWT
3,0,0,N/A,N/A,0.00000002,0,VAI
4,0,0,N/A,N/A,0.00000088,0,FXY
5,0,0,N/A,N/A,0.00000152,0,PNK
1,,,,,,,MAS
6,,,,,,,ZIX
