,baseVolume,percentChange,high,low,highestBid,quoteVolume,index
10,58.698604249925639021,-12.06645347,0.0000436,0.00003723,0.00003973,1482275.529804697712361871,MFT
11,51.186715104593438408,0.72058824,0.0000738,0.00006252,0.00006626,752740.790622413777991932,ESS
8,467.983856640949353063,0.09756098,0.0025,0.00200201,0.002133463,210861.083663699898704676,GOT
7,2.705942766073276505,-1.62170355,0.00006699,0.000048,0.000048,48180.199722645751817292,BITX
9,18.399122152151253895,13.2,0.00002,0.00000555,0.000006,2504415.022581,IONC
4,0.592098394953583108,-63.38062553,0.00000213001999999,0.00000078,0.00000115,475000,FXY
0,0,0,N/A,N/A,0.00003751,0,BWT
2,0,0,N/A,N/A,0.00004501,0,ZXC
3,0,0,N/A,N/A,0.00000002,0,VAI
5,0,0,N/A,N/A,0.00000145,0,PNK
1,,,,,,,MAS
6,,,,,,,ZIX
