,baseVolume,percentChange,high,low,highestBid,quoteVolume,index
10,63.397275210753973158,-6.87089716,0.00004799136669035,0.00003723,0.000048018799391536,1505572.4612249308759671,MFT
11,59.103591431340905465,-4.87595137,0.0000738,0.000063130000000001,0.00008612,852612.711099327994489157,ESS
8,383.12275142046187055,-1.14107621,0.0025,0.002001,0.003002164263517476,168870.31670635461152756,GOT
7,3.056644804941918248,0.75782036,0.00006699,0.00004815,0.000048,55842.721567420478354321,BITX
9,19.9914970676535928,-14.35185185,0.00002,0.00000451,0.0000066,2780829.803907,IONC
4,0.592098394953583108,-63.38062553,0.00000213001999999,0.00000078,0.000002121,475000,FXY
0,0.163563085199999999,0,0.00003453,0.00003453,0.0000359,4736.84,BWT
2,0,0,N/A,N/A,0.000045002,0,ZXC
3,0,0,N/A,N/A,0.00000002,0,VAI
5,0,0,N/A,N/A,N/A,0,PNK
1,,,,,,,MAS
6,,,,,,,ZIX
