,baseVolume,percentChange,high,low,highestBid,quoteVolume,index
8,9.52519516770156,15.75,0.00002,0.000004509,0.0000060399,1085260.577021,IONC
10,89.733549330666593024,5.26165652,0.000077,0.000063130000000001,0.00008612,1271705.694968499233591193,ESS
7,436.371818664765620219,-8.39694656,0.002776238844401041,0.002,0.003002164263517476,189102.236988382941264939,GOT
6,3.866453515083963688,-0.04544766,0.0000996,0.00005231,0.00005262,59497.932722218846293213,BITX
9,110.34344166992134886,-10.4909953,0.00005,0.000038,0.000048018799391536,2376648.757029926824476405,MFT
0,0.163563085199999999,0,0.00003453,0.00003453,0.0000359,4736.84,BWT
2,0,0,N/A,N/A,0.0000450001,0,ZXC
3,0,0,N/A,N/A,0.00000002,0,VAI
4,0,0,N/A,N/A,0.00000212322,0,FXY
1,,,,,,,MAS
5,,,,,,,ZIX
