,index,baseVolume,percentChange,high,low,highestBid,quoteVolume
16,MYB,9.291105812133739276,-10.70714286,0.00016,0.00012101,0.00012502,67269.219225400392838488
10,WT,8.664769917857047312,-57.049,0.0001,0.00003102,0.00002823,213337.555702704772249877
8,HOLD,40.025036788233494294,-41.79104478,0.000067,0.000025,0.000039,1258027.883367245524359922
4,NPXS,393.894455136931918561,2.31404959,0.000012769983089883,0.0000108,0.00001238,32953340.075403833966636888
18,FMF,20.287923270057082863,-32.66666667,0.00015,0.000065,0.000095,226566.071121316186622295
19,MVP,105.441728999563013547,-22.98,0.000025,0.000017,0.0000191,5764831.659606041204680465
1,FRES,1.281058069021403142,-0.04,0.000025,0.0000184,0.000018001,54180.34539284506945816
12,PHI,0.9371,4.16666667,0.00075,0.00072,0.00065,1280
2,CBC,0.568449013260820159,0,0.000800010000002465,0.0008,0.000457130000012042,710.55513278
15,OWN,0.5541001997893288,1.66666667,0.00000122,0.000001,0.00000118,484699.62004302
11,BGX,0.205,-60,0.000025,0.00001,0.000012,13000
3,CFTY,0.15,0,0.000005,0.000005,0.0000009999999,30000
0,SIN,0,0,N/A,N/A,0.0000009999,0
5,ODE,0,0,N/A,N/A,N/A,0
6,WBT,0,0,N/A,N/A,0.000072,0
7,CUZ,0,0,N/A,N/A,0.0000412,0
9,ATMI,0,0,N/A,N/A,0.00013,0
13,XMX,0,0,N/A,N/A,0.000000071,0
14,CIC,0,0,N/A,N/A,0.00001,0
17,RMESH,0,0,N/A,N/A,0.000061999999999999,0
