,index,baseVolume,percentChange,high,low,highestBid,quoteVolume
20,MVP,1712.58423819,24.25211442,2.5e-05,1.73e-05,2.371e-05,77235570.5104
4,NPXS,1000.97088219,6.52892562,1.302e-05,1.08e-05,1.271e-05,80823567.9991
8,HOLD,307.334757724,-20.5,4.699e-05,2.55e-05,4.308e-05,9725281.61517
19,FMF,133.981389561,-27.09649123,0.000125,8.1001e-05,8.308e-05,1444204.66513
11,BGX,59.3116889134,99.9,2.854e-05,1e-05,1.001e-05,2454795.72189
14,CIC,18.1554385723,-99.367,0.43,1.5e-05,1.8e-05,117472.256957
10,WT,6.39249786938,-22.39994412,5.945e-05,3e-05,3.601e-05,161438.061065
7,CUZ,5.269365067,298.33333333,0.000239,6e-05,4.5e-05,26029.98
17,MYB,2.57982054151,3.98336266,0.00014999,0.00011,0.00011,20853.4703572
12,PHI,2.51845124366,23.07692308,0.0008,0.0005,0.00049,3543.93905458
1,FRES,1.09005987078,35.05434783,2.499e-05,1.84e-05,1.8001e-05,44682.3197066
15,OWN,0.319446431148,2.36220472,1.3e-06,1.27e-06,1.18e-06,248532.622951
3,CFTY,0.21171651,0.0,4.19e-06,4.19e-06,2.9e-06,50529.0
2,CBC,0.0761852858,0.0,0.00045713,0.00045713,0.00030001,166.66
6,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
