,index,baseVolume,percentChange,high,low,highestBid,quoteVolume
20,MVP,1454.62789385,-3.95555556,2.5e-05,1.8e-05,2.371e-05,64890780.1726
4,NPXS,579.952492916,1.58102767,1.302e-05,1.21e-05,1.27496046385e-05,45711445.3754
8,HOLD,305.613086736,-33.33313333,4.699e-05,2.55e-05,4.308e-05,9769436.53395
19,FMF,193.592029922,-34.496,0.000125,7e-05,8.305e-05,2249197.3476
11,BGX,60.3341267048,81.72727273,2.854e-05,1e-05,1.101e-05,2503157.56239
14,CIC,18.998865752,-99.46666667,0.43,1.5e-05,1.8e-05,170157.666291
7,CUZ,11.0359706998,183.33333333,0.000239,6e-05,5e-05,56560.2805786
10,WT,10.0423200553,70.0,5.95e-05,3e-05,5.5e-05,222099.871113
17,MYB,2.45229865208,3.98336266,0.00014999,0.00011,0.00011001,19833.4584437
12,PHI,1.63355124366,0.0,0.0008,0.0008,0.00049,2041.93905458
1,FRES,0.797190000017,-0.56022409,2.499e-05,2.485e-05,1.8001e-05,31967.3593388
15,OWN,0.319446431148,2.36220472,1.3e-06,1.27e-06,1.18e-06,248532.622951
3,CFTY,0.21171651,0.0,4.19e-06,4.19e-06,2.9e-06,50529.0
2,CBC,0.0761852858,0.0,0.00045713,0.00045713,0.00030001,166.66
6,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
