,baseVolume,percentChange,high,low,highestBid,quoteVolume,index
10,73.94355451716594907,1.3477957,0.000080999025428283,0.00006751,0.00008612,982750.552807935721017773,ESS
4,3.583999999999999999,0,0.00002869,0.0000286,0.0000021,124999.999999999999965143,FXY
7,274.753420680143739981,-0.34043932,0.002888511120007325,0.00266111111111,0.003002164263517476,99146.72617095336231099,GOT
8,2.421817755984,80,0.0000255,0.00001,0.0000025,145986.680888,IONC
9,125.763703845651612011,22.38496092,0.0000445,0.0000328,0.00004362,3202371.552310095842543296,MFT
6,0.726421249999999997,-45.825,0.00012,0.000065,0.0000665,10350,BITX
0,0.052127485199999999,0,0.00003402,0.00003402,0.00003451,1532.26,BWT
2,0,0,N/A,N/A,0.0000400000329,0,ZXC
3,0,0,N/A,N/A,N/A,0,VAI
1,,,,,,,MAS
5,,,,,,,ZIX
