,baseVolume,percentChange,high,low,highestBid,quoteVolume,index
1,74.769277633216931288,4.9556961,0.00000212,0.000001711,0.00000212,37750446.16182788217392415,BWX
26,7.081090535968179008,1.91082803,0.0008101,0.000785,0.000801,8850.824255408572858136,GOT
14,67.050782861528974528,10.3566114,0.00017099999999999,0.00013,0.0001501,443875.037706278538801179,HYB
44,571.71833576041234478,-99.99803333,0.9453,0.00000002015,0.0000000507,8492631209.530706835117098705,PKG
31,5.332904999999999999,-76.66666667,0.000015,0.0000035,0.000002000002,585526.999999999999714285,WAB
6,2.44533749214,-39.51612903,0.0000248,0.000015,0.000014,104640.236664823714587744,SEAL
20,2.417226993017842198,-61.9812253,0.000054799999999998,0.00000629,0.0000154,108026.219764439122082127,CET
22,2.341446593445230743,-22.49564053,0.000055429976250586,0.0000381999991001,0.00004,48622.672589726460107629,BITX
9,19.962379216571919438,-14.8314511,0.000000094,0.00000007,0.00000007002,258859941.20961183,VIKKY
39,18.626360888243673502,-4.9224483,0.000032720657446502,0.0000311,0.0000307,583690.231820830623332515,ESS
10,169.643709106483579713,-16.26068721,0.00006293,0.00005003,0.00005189,2987855.136920704662575731,ZXC
7,1.933189759999999997,0,0.000000701,0.000000701,0.000000602333,2757760,GARD
29,1.465051661214468888,0.71308709,0.00003105,0.0000290405808,0.00002935,48612.115477266118866131,MFT
23,1.384762920369496978,0,0.00000734,0.00000734,0.00000734,188659.798415462803895567,PDX
37,1.299395416858405367,-33.40363775,0.000030101,0.000020046171,0.000022202897839999,44524.025223464443476203,AXPR
3,0.895199999999999999,-47.91666668,0.000038429,0.00002,0.00002001,25361.694544402946867649,SNR
16,0.879043253090345665,18.75215425,0.0000689,0.000058,0.0000565,14826.449818806453583144,NCC
19,0.601177777777777776,-66.07142857,0.00000028,0.000000095,0.00000005012,5241830.409356725142290398,NTK2
8,0.497944248200287904,2.29879773,0.000009209990999999,0.0000043501,0.00000450001,73207.87703973,ALTX
17,0.168019349941426385,0,0.000001299999,0.000001299999,0.00000031,129245.753220907389928761,ZNC
40,0.126077333683199981,1.12149533,0.00000541,0.00000535,0.00000551,23434.44864,EBC
35,0,0,N/A,N/A,0.00002524063,0,BOX
41,0,0,N/A,N/A,N/A,0,PTT
42,0,0,N/A,N/A,0.0000237,0,T2T
38,0,0,N/A,N/A,0.00000601,0,INCX
43,0,0,N/A,N/A,0.0000075,0,INNBC
45,0,0,N/A,N/A,0.0000010005,0,CLIN
36,0,0,N/A,N/A,0.000003042009,0,DACC
0,0,0,N/A,N/A,0.0000380611,0,BWT
33,0,0,N/A,N/A,0.00037215,0,SPRK
32,0,0,N/A,N/A,0.0000021,0,SAT2
30,0,0,N/A,N/A,0.00000542,0,DDD
28,0,0,N/A,N/A,0.000001001,0,CCOS
25,0,0,N/A,N/A,0.000682,0,SWC
21,0,0,N/A,N/A,0.000002521999999999,0,SET
15,0,0,N/A,N/A,0.00002011,0,PNK
13,0,0,N/A,N/A,0.0000012,0,CONTRACTIUM
11,0,0,N/A,N/A,N/A,0,VAI
4,0,0,N/A,N/A,0.000011,0,HRZN
2,0,0,N/A,N/A,0.00001156001,0,ZIPT
47,0,0,N/A,N/A,0.0000250125062532,0,R
5,,,,,,,MAS
12,,,,,,,FXY
18,,,,,,,ZIX
24,,,,,,,PNKOLD
27,,,,,,,IONC
34,,,,,,,CPCP
46,,,,,,,UST2
