,baseVolume,percentChange,high,low,highestBid,quoteVolume,index
1,81.587708529599147239,0.4784689,0.0000021,0.000001711,0.00000203,41265099.157216019070086368,BWX
10,70.540896602276104693,-4.66993826,0.00006317,0.00005975,0.00006022,1135447.040992486900100201,ZXC
14,61.387337387950031474,-10.21559348,0.00017099999999999,0.00013,0.000135803579,413623.624409567915507386,HYB
26,6.650693360047605975,-20.64255714,0.0010081111111111,0.000785,0.0007801,7314.660477242875844893,GOT
6,5.491916206137711071,16.21368322,0.0000248,0.00002133,0.000013250000050003,242924.238346744684259251,SEAL
44,424.269033010764715459,-99.998,0.9453,0.00000002015,0.000000056,5801520362.756686377629427849,PKG
31,4.282905,0,0.000015,0.000015,0.000001821,285527,WAB
20,2.767456568381920338,-62.30864202,0.000043,0.00000629,0.00001539,104849.174523811312970984,CET
29,2.416457345292768906,-2.18733311,0.00003083015415,0.0000290405808,0.0000292802926,81099.34285000635152684,MFT
22,2.277446593445230743,7.40162012,0.000055429976250586,0.0000381999991001,0.00004,47022.672589726460107629,BITX
37,2.220843798849602426,-58.18487484,0.000047959999999997,0.000020046171,0.000022242917839999,63741.112049485441531515,AXPR
9,18.430506751311310686,-17.64704913,0.0000000958599899,0.00000007,0.000000071,233802249.63970444,VIKKY
39,12.204258667441030386,-3.2739189,0.000032720657446502,0.000031573,0.000031573,378374.1363166107649978,ESS
7,1.933189759999999997,0,0.000000701,0.000000701,0.000000602323,2757760,GARD
16,1.056431945395514206,18.75215425,0.0000689,0.000058,0.0000565,17883.821277441495120643,NCC
3,0.899759999999999999,92.145,0.000038429,0.00002,0.00001753,25589.694544402946867649,SNR
40,0.49891941154559998,-22.15827338,0.00000695,0.00000512,0.00000542,87879.1824,EBC
8,0.432650574024500119,111.71906393,0.000009209990999999,0.0000043501,0.00000445011,58535.47098688,ALTX
19,0.3957,-64.28571429,0.00000028,0.0000001,0.000000033,3383000,NTK2
23,0.29293792036949698,0,0.00000734,0.00000734,0.00000734,39909.798415462803895567,PDX
17,0.168019349941426385,0,0.000001299999,0.000001299999,0.00000031,129245.753220907389928761,ZNC
35,0,0,N/A,N/A,0.00002542073,0,BOX
41,0,0,N/A,N/A,N/A,0,PTT
38,0,0,N/A,N/A,0.0000032010009999,0,INCX
42,0,0,N/A,N/A,0.000023697654456789,0,T2T
43,0,0,N/A,N/A,0.0000075,0,INNBC
45,0,0,N/A,N/A,0.0000010005,0,CLIN
36,0,0,N/A,N/A,0.0000026,0,DACC
0,0,0,N/A,N/A,0.0000380611,0,BWT
33,0,0,N/A,N/A,0.00037215,0,SPRK
32,0,0,N/A,N/A,0.0000021,0,SAT2
30,0,0,N/A,N/A,0.00000542,0,DDD
28,0,0,N/A,N/A,0.000001001,0,CCOS
25,0,0,N/A,N/A,0.000682,0,SWC
21,0,0,N/A,N/A,0.00000252,0,SET
15,0,0,N/A,N/A,0.0000201100001,0,PNK
13,0,0,N/A,N/A,0.0000012,0,CONTRACTIUM
11,0,0,N/A,N/A,N/A,0,VAI
4,0,0,N/A,N/A,0.000011,0,HRZN
2,0,0,N/A,N/A,0.00001156001,0,ZIPT
47,0,0,N/A,N/A,0.0000250125062532,0,R
5,,,,,,,MAS
12,,,,,,,FXY
18,,,,,,,ZIX
24,,,,,,,PNKOLD
27,,,,,,,IONC
34,,,,,,,CPCP
46,,,,,,,UST2
