,baseVolume,percentChange,high,low,highestBid,quoteVolume,index
1,86.45618446045344191,-17.90025483,0.000001980597620459,0.00000147,0.000001653,50355531.320839285908448155,BWX
24,8.008426248117370809,-1.75164144,0.000031969999764494,0.00002923,0.00003008,257544.739461816774405854,MFT
32,7.665095640074854494,140.60668735,0.00000698,0.000002901,0.00000568,1623324.300361685081603956,EBC
26,63.955536798062573074,18.49048264,0.00012,0.0001,0.000116735082361333,557258.411853194452966389,HYB
21,5.680207721660399953,-10.3992,0.00125,0.0011100009,0.001120021,4918.745133245329579833,GOT
10,47.422446819760122429,1.57416423,0.00006366,0.00006075,0.00006165,763657.841513574082403476,ZXC
8,4.657405125777781751,-42.4515634,0.000015639,0.000009,0.0000051,401080.23397465,ALTX
31,25.873957989509888599,-0.55465059,0.000036935404292818,0.0000323,0.000034030376204437,732034.533020148068098934,ESS
6,25.701113361848996541,-14.34285866,0.0000378,0.000022,0.00002202000999901,956502.204293023887145403,SEAL
9,21.128788615202595981,-19.99993333,0.00000018999,0.0000001,0.00000012,168510954.35386252,VIKKY
14,2.583788881452537723,17.65756115,0.000065899999999999,0.00005501,0.000056,40675.486872189610241198,NCC
17,15.001719002706148209,0.80744251,0.000065689999999998,0.00005001,0.00005895,259268.013512666196363746,BITX
2,1.294600888888888638,0,0.000021,0.0000112,0.000011100009999999,95232.2222222222,ZIPT
13,1.222436331283937096,20.68965517,0.000035,0.000029,0.00003,36107.495023623926040855,PNK
0,0.297553540438502081,-1.96710669,0.00007997,0.000045301,0.00004532,5662.942418975603348323,BWT
36,0,0,N/A,N/A,0.000025012506253127,0,R
27,0,0,N/A,N/A,0.00037217,0,SPRK
30,0,0,N/A,N/A,0.00001023,0,AXPR
33,0,0,N/A,N/A,0.0000001,0,INNBC
29,0,0,N/A,N/A,0.0000125001,0,BOX
34,0,0,N/A,N/A,0.0000010000001,0,CLIN
20,0,0,N/A,N/A,N/A,0,PTT
25,0,0,N/A,N/A,0.0001742,0,DDD
23,0,0,N/A,N/A,0.0000020000001,0,CCOS
19,0,0,N/A,N/A,0.000682,0,SWC
11,0,0,N/A,N/A,N/A,0,VAI
7,0,0,N/A,N/A,0.00000089,0,GARD
4,0,0,N/A,N/A,0.000011,0,HRZN
3,0,0,N/A,N/A,0.000007526578976,0,SNR
37,0,0,N/A,N/A,0.00000301,0,INCX
5,,,,,,,MAS
12,,,,,,,FXY
15,,,,,,,ZIX
16,,,,,,,CET
18,,,,,,,PNKOLD
22,,,,,,,IONC
28,,,,,,,CPCP
35,,,,,,,UST2
